"Match_ID","Match_Date","Match_Type","CSHC_Team_ID","Opposition_Team_ID","Match_Time","Venue_ID","Home_Away","CSHC_Score","Opposition_Score","CSHC_Score_Half","Opposition_Score_Half","Walkover","Ignore_For_Southerners","Ignore_For_Goal_Kings","Match_Report","Short_Comment","Include_Even_If_Off","Exclude_From_Roster","Fee_Adjust","GPG_Pro_Rata_Value","IncludeForFantasy","Override_Kit_Clash","Own_Goals_For"
11,"21/11/2009","League",6,134,"10:30",12,"Home","6","0","3","0","False","False","False","Bright and early on Saturday morning we were all at the University pitch looking forward to this game, warmed up and ready to go - but with only a few minutes remaining until push back, there was still no opposition in sight! After a few anxious phone calls, it was established that Wisbech had gone to the Leys! Eventually they made it to the correct pitch and we got under way.
It was a great all round team performance from South. Bex was a well-deserved player of the match - not only did she score a hat trick with some great finishing and generally having her stick in the right place at the right time, but also worked hard running around and getting past her opponents and into the D. She had great support from birthday girl Charlie, and some fantastic passes in from Kendra. 
Wisbech did keep pushing, but South defended solidly and nothing got past sweeper Tracey or newcomer Simone at left back.  
Thanks to our supporters Sarah A, Ellie, Johnny & Melanie. ","Ladies' 2nds win comfortably against Wisbech 3rds.","False","False",,1,"True","False",
12,"28/11/2009","Cup",6,57,"10:00",44,"Away","10","0","4","0","False","False","False","The cold and early start and the long trek to Kimbolton were definitely worthwhile as South Ladies 2nds got their biggest win of the season so far. 
With no regular goal-keeper available, we had considered playing with 11 outfield, but Tracey bravely volunteered to pad up. It ended up being a rather cold and boring game for her, as she didn't touch the ball once! 
It was a positive start for South, with most of the play in Huntingdon's end. There were a few near misses before the first goal - but after that, confidence increased and we started to work together even better. 
There was some great running and passing between the midfielders and forwards. Vicky B had a change from her usual position and played up front - it turned out to be a good move as she got two goals in. 
Newcomer Kirsten was a well deserved player of the match for some great runs and passing, not to mention a couple of goals! ","Ladies' 2nds put 10 past Huntingdon with no reply.","False","False",,1,"True","False",
13,"05/12/2009","Cup",6,41,"10:00",24,"Away","1","1","1","0","False","False","False","Awaiting Report","Ladies' 2nds secure a Cup final place with a draw against City of P'Boro","False","False",,1,"True","False",
14,"09/01/2010","Friendly",6,106,"11:45",8,"Home","OFF","OFF","","","False","False","False","Match cancelled due to bad weather.","Ladies' 2nds v Saffron Walden : Cancelled","False","False",,1,"True","False",
15,"16/01/2010","League",6,41,"11:00",25,"Away","2","1","","","False","False","False","Awaiting Report","Ladies' 2nds beat City of P'Boro 4 by 2 goals to 1.","False","False",,1,"True","False",
16,"23/01/2010","League",6,47,"15:30",9,"Home","2","1","1","0","False","False","False","Awaiting Report","Ladies' 2nds win at home to Ely 2","False","False",,1,"True","False",
17,"30/01/2010","League",6,69,"13:00",30,"Away","3","0","3","0","True","True","True","Ladies' 2nds beat March Town 2 by Walkover.","Ladies' 2nds beat March Town 2 by Walkover.","False","True",0,1,"False","False",
18,"06/02/2010","League",6,57,"10:00",44,"Away","5","0","4","0","False","False","False","Awaiting Report","Ladies' 2nds win by 5 goals away at Huntingdon","False","False",,1,"True","False",
19,"13/02/2010","League",6,48,"13:15",8,"Home","3","0","","","True","True","True","Match Postponed","Ladies' 2nds v Ely 3 : Match Postponed","False","True",,1,"False","False",
20,"20/02/2010","League",6,127,"11:45",8,"Home","4","0","2","0","False","False","False","Very brief report. Pip got the first (picking up the rebound of a Kirsten strike at the right post) - her first goal since the millenium she claimed. Kirsten the second (turning at the top of the D and popping it in the left hand corner). 2-0 at half time.
Third goal was Pip running in on the right post and deflecting Kirsten's straight strike past keeper in a slick corner routine. Isobel then wrapped it up with a fourth goal put in amongst a mass of blue shirts!
Some beautiful hockey, lots of good interchanges especially between Kathryn, Ley and Kirsten in the midfield and some solid defence when called upon ","Ladies' 2nds get another 3 points against St Neots 4","False","False",,1,"True","False",
21,"06/03/2010","League",6,48,"10:00",10,"Away","OFF","OFF","","","False","False","False","Match cancelled as Ely fail to raise a team","Ladies' 2nds v Ely 3 : Match cancelled as Ely fail to raise a team","False","False",,1,"True","False",
22,"13/03/2010","League",6,23,"11:30",24,"Away","0","3","","","True","True","True","Match cancelled.","Ladies' 2nds v Bourne 3 : OFF","False","True",,1,"False","False",
23,"20/03/2010","League",6,134,"16:00",31,"Away","1","0","1","0","False","False","False","Awaiting Report","Ladies' 2nds narrowly beat Wisbech 3","False","False",,1,"True","False",
24,"27/03/2010","League",6,41,"13:15",8,"Home","4","0","","","False","False","False","Awaiting Report","Ladies' 2nds beat City of P'Boro 4 by 4 goals to nil.","False","False",,1,"True","False",
25,"05/09/2009","Friendly",5,149,"12:30",11,"Home","OFF","OFF","","","False","False","False","Awaiting Report","Ladies' 1sts v Cambridge City : OFF","False","False",0,1,"True","False",0
26,"12/09/2009","Cup",5,121,"11:00",7,"Away","1","0","0","0","False","False","False","Awaiting Report","Ladies' 1sts beat St Ives 1-0","False","False",,1,"True","False",
27,"19/09/2009","League",5,121,"14:00",7,"Away","2","0","0","0","False","False","False","The ladies firsts travelled on Saturday to St Ives, hoping to beat them twice in as many weeks following a 1-0 cup win the previous weekend.
With captain and vice-captain returned from holidays, the South ladies started in a positive mood and with an attacking 3-4-3 diamond formation. The experienced back line of Ellie, Becca and Rhiannon provided a solid base behind the midfield diamond of Caroline (defensive holding mid), Georgie (attacking centre), Hayley (left mid) and Liles (right mid) who channelled effectively into the strong attacking trio of Tash, Alice and Kelly up front. This formation was quickly effective, with the middle third of the pitch being dominated by South players harrying for the ball, and often being able to steal passes at will to launch swift attacking moves into the opposition D. Within the first 2 minutes South had drawn a short corner, and taken another shot quickly after. This pattern continued throughout the first half, with South players rattling shots at the St Ives keeper, and then smothering any break-outs from the opposition team in response only to return to the St Ives D for more of the same. Half way through the first period, with South clearly on top (though still goalless) a left mid substitution allowed Ley to get a taste of first-team ladies hockey, and by the time the half-time whistle was blown South had notched up 9 shots on goal, and 4 further short corners - but were still at 0-0. St Ives, meanwhile, had yet to take a single shot, having only reached the South D twice in the entire half.
With Hayley back on for the start of the second period, South once again laid siege to the St Ives goal. With the new self-pass rules in mind, the forward players began to truly harrass the opposition defence, resulting in even more possession and attacking chances. The left side of the pitch was proving bountiful hunting-ground for South, with Hayley and Alice firing shots at the impressive (in skill and stature) St Ives keeper, and the attack drawing 5 more short corners as a result of their fluid ground play in the D and hitting the target 5 more times from open play. However the ladies left it late in the game to break the deadlocked scores, with Tash eventually putting them ahead on 67 minutes with a simple and effective strike in open play, and then Alice tapping home to make the final score 2-0 to the visitors.
Overall South played excellent hockey across the entire pitch, disrupting the St Ives possession, and as a result taking the ball early and high up the pitch. The statistics of 15 shots on goal, 9 short corners and only 2 goals give a reasonable indication of the ladies' primary areas for improvement, namely effective shooting and short-corner practice - but the general picture is encouraging and bodes well for the season. Special mention must go to Lou ""Loopy"" Tonkin for a performance in goal that was so impressively intimidating that the opposition declined to take a single shot at her goal, and to Georgie Harford for a ""Man of the Match"" performance in which she showed an exceptional work-rate, intelligent overlapping with her central midfield partner and steely dedication to her team - some evidence for which might be found in the St-Ives players' bruises following her tackles.
The ladies will approach the next match at home against Hunts 1 in an optimistic mood.

","Ladies' 1sts have a good day at St Ives 3, winning 2-1","False","False",,1,"True","False",
28,"26/09/2009","League",5,56,"15:45",10,"Home","3","1","","","False","False","False","Awaiting Report","Ladies' 1sts beat Huntingdon 1sts 3-1","False","False",,1,"True","False",
29,"03/10/2009","League",5,68,"11:45",8,"Home","3","0","","","True","True","True","Ladies' 1sts win by Walkover as March Town 1 fail to raise a team.","Ladies' 1sts win by Walkover as March Town 1 fail to raise a team.","False","True",,1,"False","False",
30,"10/10/2009","League",5,35,"14:00",13,"Away","3","2","1","2","False","False","False","A bright and breezy day for a bright and breezy hockey match as the two undefeated teams in the division squared up in a Cambridge derby.
After a rousing pre-match chat from captain Ellie the game started in an even-stevens fashion with plenty of good hockey but not many chances. Nomads eventually broke the dead lock halfway through the first half when a scramble in the circle eventually ended with the ball being poked in from a melee.
South almost scored immediately after the restart but couldn't quite put the ball away after a good break down the left with Kendra and Tash. Lizzie meanwhile showed her goal keeping prowess defusing a one-on-one with a Nomad forward who'd sneaked in behind the defence.
The general pressure though was swinging South's way with sustained pressure on the Nomad's D. Georgie in particular was tormenting the centre of defence with mazy runs in. One of which lead to the equalizer as her shot was tapped in by Tash on the line (poached or vital deflection? who's to say?). This was quickly followed by another chance as Kendra's shot was stopped by a foot on the line but Rhi's penalty flick was well saved.
Despite the concerted pressure Nomad's looked dangerous on the break, one such three-on-two lead to a second goal when a shot in from a tight angle was touched home with a point blank range deflection.
Two-One down at half time but playing well.
The half time oranges obviously had the desired effect as the second half started with a rapid attack down the right from Kelly putting a dangerous ball across the circle and unlucky not to get the final touch. Tash also had a shot well saved. South pressure mounted and was rewarded when Liles drove into the D and put a beautiful ball across the goal which was finished with great aplomb by a Nomad's defender.
South continued to press forward and had chances but without reward.
Whilst Nomad's were forced to settle for occasional breaks, with defence bending but never quite breaking as Ellie, Julie, Rhi and Becca all covered for each other and put in good tackles at vital moments, and feeding balls up to the midfield dynamo that was A.I. and George.
Inspired by the captains cry of ""Come on girls, we need one more to win this"" (one can tell she's a PhD student), South won a short and showed the benefit of the Thursday practices as Kelly's first time strike was deflected by Tash to Becca who tapped in at the post to put South ahead for the first time.
Nomad's began to have a little more pressure as the game closed but were given no clear cut chances whilst South had a couple more chances and won a succession of short corners that nearly produced results but for frantic last ditch defending.
A really satisfying win in a well contested, good spirited game leaving South top of the table as the only undefeated team in the division and looking forward to keeping it up for the rest of the season.","Ladies' 1sts come from behind to beat Cambridge Nomads","False","False",,1,"True","False",
32,"24/10/2009","Cup",5,161,"10:15",8,"Home","5","1","","","False","False","False","Awaiting Report","Ladies' 1sts beat local rivals Cambridge City.","False","False",0,1,"True","False",0
33,"07/11/2009","League",5,81,"12:30",39,"Away","7","0","3","0","False","False","False","The Cambridge South ladies 1s travelled to Suffolk this week, but it was a journey worth the effort for a 7-0 victory over the Newmarket 2nd team.  South dominated from the outset with smart, passing hockey.  Georgie's natty dribbling made space for a smooth lay off to Alice who nailed her first goal without delay.  More pressure followed and the same double act came good again with Georgie sharp on the rebound of Alice's strike and getting number two for the day.  Newmarket rallied a little in the second quarter and spent some time in the Cambridge half, but their efforts were dealt with promptly by defence and midfield with Hayley, Liles and AI linking beautifully with the forward line and even passing the ball around the back from time to time!  Back in the opposition half, there were plenty of chances for Cambridge who found depth with Kendra on the left Tash on the right, including some agonising near misses for Alice, lurking on the penalty spot and whizzing ball after ball millimetres wide of the right post.  One of the smoothest goals of the match came from a super-hard strike from Alice, sneakily deflected behind the keeper by Tash on the right post.  Three - nil to South at half time.
Newmarket came back with renewed vigour (and sharpened elbows on their defenders!) but Cambridge had more.  Alice broke her duck and swept a lovely goal in from the penalty spot within the first minute of the half.  Newmarket's hard through balls consistently failed to find a player to recieve them and, again, most of the play was in their half.  New to the 1s, Lottie played strongly on the left, linking with Julie and AI who formed a great partnership, best demonstrated by a deadly accurate pass from Julie across the D, through the defenders' legs to AI who hammered it home.  Having got a taste for scoring, AI got the next one too, a product of sharp reflexes on the near post.  Newmarket gave the defenders some work to do, but Rhi did a great job to keep the Cambridge half safe.  More pressure in the D, including a slightly disappointing set of unconverted short corners, led to the flashiest goal of the match:  Alice's tight-angled uppercut ball was further deflected and whizzed into the top corner of the net.  For all the impressive work in the opposition D, however, perhaps the most glorious play of the match came right at the end when a rare Newmarket break left keeper Lou down at full stretch having saved a 1-on-1 and Vicky swept the ball off the line in a heroic move that kept a clean sheet for Cambridge.  The strength of the midfield and passing play with the forwards was what won the match and this was reflected in votes for Hayley and Tash and eventual crowning of Alice and Georgie as joint players of the match for this week. ","Ladies' 1sts outclass Newmarket with another glut of goals.","False","False",,1,"True","False",
34,"14/11/2009","League",5,161,"10:30",12,"Away","9","0","3","0","False","False","False","Awaiting Report","Ladies' 1sts trounce Cambridge City by 9 goals to nil.","False","False",0,1,"True","False",0
35,"28/11/2009","Cup",5,56,"11:45",8,"Home","3","1","1","0","False","False","False","Cambridge South Ladies 1 qualified for their cup final with an assured win over near rivals Huntingdon at the Leys. 
In a game they had to win to advance due to Huntingdon's superior goal difference from earlier matches, South signalled their intent from the start, attacking straight from the opening push back. In a frantic start it was South who had most of the pressure but couldn't convert. AI in particular was unlucky not to get on the end of cross unmarked from Tash after a great run down the right wing.
Huntingdon managed several breaks and won the game's first short in slightly fortuitous manner but were unable to convert. The pressure from South continued but they also couldn't convert their own first short corner. The deadlock was broken shortly afterwards though as Hayley finished off a lovely passing move to make the score 1-0. 
South were unlucky not to double their lead on the stroke of half time as they got a short and from a second strike Alice received the ball in front of the keeper popping the ball through her own legs to Tash who tapped in on the right post only to have the goal disallowed due to obstruction.
Shortly after half time it was 2-0 as Alice took a quick free hit square to AI whose first time pass went to Kendra at the top of the D; her shot was blocked but Tash was on hand to put the rebound in. And two quickly became three as AI picked up a loose ball in the middle of the pitch and made a strong run diagonally towards the right corner before squaring to Alice at the top of the circle whose powerful shot left the keeper stranded. South had more chances as both Georgie and Liles made strong runs.
At this point Huntingdon suddenly found another gear and managed their first period of sustained pressure. However the backline of Ellie, Julie, Becca and Rhi managed to hold them off without offering any shots for Lizzy to deal with. Eventually though a short corner was conceded and after an extended pause to fix the keeper's kickers the South defence didn't restart as fast as the Huntingdon attack and couldn't quite clear the ball eventually allowing an unstoppable clean strike from the top of the D making the score 3-1.
South never quite found their earlier rhythm and the last ten minutes passed nervously with Huntingdon dominating and South breaking occasionally but neither team looking like scoring.  Thank you to Ian, Cassie and Team mascot Freya for excellent support from the sidelines.  ","Ladies' 1sts reach the Cup Final with a win against Huntingdon","False","False",,1,"True","False",
36,"16/01/2010","League",5,100,"10:30",3,"Away","OFF","OFF","","","False","False","False","Cancelled due to frozen pitch.","Ladies' 1sts v Rutland : Cancelled due to frozen pitch","False","False",,1,"True","False",
37,"23/01/2010","League",5,56,"10:00",44,"Away","0","2","","","False","False","False","Awaiting Report","Ladies' 1sts suffer a first defeat of the season to Huntingdon 1","False","False",,1,"True","False",
38,"30/01/2010","League",5,121,"10:00",10,"Home","OFF","OFF","","","False","False","False","<div>Match postponed due to frozen pitch</div>","Ladies' 1sts v St Ives 3 : Match postponed to to frozen pitch","False","False",,1,"True","False",
39,"06/02/2010","League",5,68,"13:00",30,"Away","2","0","1","0","False","False","False","The South Ladies' 1s travelled into the foggy fens this week for a dominant performance against March Town 1s.  The South team included some new faces and others playing out of position but the group gelled well.  Strong passing play in the midfield kept South in possession of the ball and there were some strong attacks on the D.  Goals were hard to come by though, not least because of the strength of March's experienced central defender who stole ball after ball from an increasingly frustrated front line.  Once again, short corners were a weakness for South who had too many awarded to them to count, but no goals as a result.  However, the reward came eventually when new player Kirsten scored stylishly with a first-touch strike to a rebounding ball from the edge of the circle.  
There was always a risk the match could be lost by a sneaky goal from March so South entered the second half with renewed determination to nail the match.  Breeshey, playing out of position at right back, dealt effectively with some dangerous breaks from March, using her attacker's skills to drive forward, taking the March defenders by surprise and threatening goal more than once in a performance that earned her the Man of the Match award.  Most of the time, though, the play stayed well inside the opposition half, thanks much to Georgie and her ability to get in the way of almost any ball coming down the middle and Julie's equal efficiency on the left.  Repeated efforts from AI, Lyn, Liles and Tash went unrewarded.  The second goal of the match was a lesson in passing play with Liles sending a strong ball from the sideline to Georgie, who passed on into the circle for Kirsten to slot to Kendra for an efficient finish.  
Another good performance from South, but frustration at the lack of goals given the time spent inside the opposition's 23.  Loopy and Ellie got the Ice Maidens award after a quiet game at the back left them shivering while Georgie and Kirsten (we can't believe Keith kept her hidden so long) got well deserved votes for Man of the Match behind Breeshey.  ","Ladies' 1sts win at v March Town","False","False",,1,"True","False",
40,"13/02/2010","League",5,35,"10:30",12,"Away","4","0","0","0","False","False","False","Awaiting Report","Ladies' 1sts claim another 3 points against Cambridge Nomads 2","False","False",,1,"True","False",
41,"20/02/2010","League",5,75,"10:00",25,"Away","OFF","OFF","","","False","False","False","Match postponed due to snow.","Ladies' 1sts v Market Deeping 2 : Match postponed due to snow.","False","False",,1,"True","False",
43,"13/03/2010","League",5,161,"11:30",13,"Away","4","0","3","0","False","False","False","The South Ladies 1s didn't have far to travel for an away fixture at St Catz this week, but still had a frantic run-up to the match when the opposition announced a start time half an hour in advance of that we were expecting!  So it was a case of getting shirts on, keeper clad and away.  It was a marked contrast to the coach-drilled, multi-subbed City 4s team that we were facing.  
The first half started with commendable enthusiasm and attacking play from South with goals justifiably following.  The first was a testament to sharp reflexes as a rebounded ball was snuck onto the backboard by Tash, lurking on the right post.  Not long after, a well timed lay-off from Georgie found Alice near the edge of the circle and she let no time go to waste, slapping it straight past the keeper in a stylish manner.  The goal record might have suggested South had all the play, but that wasn't the case: City, encouraged by many and vocal supporters, put in some good attacks but were repeatedly thwarted by the defensive line.  Kathryn, playing in defence for the first time this season and a debutante in the 1s, deserves particular mention for hard work and skillful play on the right, earning herself a man of the match nomination.  After a slightly frenetic ten minutes of battling mid-field play, South got themselves properly organised and put pressure on the City D once more.  Good passing play set Kirsten up for a strong shot on goal, duly finished, so that we were 3-0 up at half time.  
Moving into the second half with Kendra injured (not that you'd have noticed) and no extras, South faced a gee'd up City team with some suspiciously good subs.  With the knowledge that our keeper Sarah was somewhat inappropriately dressed (expensive new kickers popped off whenever she walked) the South defenders put in a committed performance to maintain a clean sheet.  Kirsten deserves particular mention for finding a jet-pack to double back and save a particularly scary, fast piece of break-through play.  Ultimately though, South dominated and sustained pressure on the D was rewarded by a goal: an awesome solo performance from Georgie, who weaved through opposition players to the edge of the circle before making space out of nowhere and scoring a straight strike into the back corner.  
Another great result for the South ladies.  Georgie was awarded Man of the Match for great work in attack and defence but the whole team deserved reward for this result. ","Ladies' 1sts win again against Cambridge City 4","False","False",0,1,"True","False",0
45,"27/03/2010","League",5,100,"11:45:00",8,"Home","5","0","3","0","False","False","False","The South Ladies 1s met Rutland for the second week in a row in their penultimate league match of the season.  As last week, the Rutland team were well drilled with strong stick skills and a determination.  This led to a somewhat flustered first ten minutes during which the South defenders had to work hard.  However, before long South regained their composure and it paid off well when sharp passing from all in midfield and landed Alice with the ball in the centre of the D which she duly hammered home.  Shortly after, sustained pressure was rewarded with a short corner and a lovely move sent the ball to Liles on the right then back to the penalty spot for Hayley to fire past the keeper.  Rutland kept coming back strong but good marking, hard work from the midfield, and (yet again) a heroic swoop onto a threatening ball by Julie, meant they couldn't convert any of their chances.  South were guilty of keeping to the centre and right of the field during the first half.  Towards the end, however, Caroline provided a persuasive argument to use the left when she dribbled the ball into the D, around several defenders, past the keeper then calmly slotted it into goal.   
In the second half South maintained strong pressure on the opposition D and held the midfield more strongly.  Goals were slow coming, despite some lovely crosses (persistently whizzing millimetres from players heading towards the left post) and other unconverted opportunities.  Liles and Hayley continued their short corner masterclass with a matching goal to that scored in the first half and Tash finished the match with a stylish goal which once again was the product of quick reflexes and accurate passing around the circle.  
Another excellent result from the Ladies 1s who continue on course to promotion.  All credit goes to Rutland for putting up a strong fight and giving the defence lots of work to do.  There were well deserved player of the match nominations for Caroline, AI, Julie, Kathryn and Georgie but Hayley was the well deserved recipient of the award for her combined sweeping and goal scoring game.  ","Ladies' 1sts beat Rutland by 5 goals to nil","False","False",,1,"True","False",
47,"12/09/2009","Friendly",4,13,"16:30:00",23,"Away","1","1","0","1","False","False","False","A steal of a score line considering we defended for at least 90% of the game.  We had a couple of chances from breakaways and scored one of them.  It was a good early season workout for all who played. A warm welcome to Boris who played his first game for us.  Thanks to all those who doubled up to allow a game to take place
","Men's 4ths steal a 1-1 draw at Bishops Stortford","False","False",,1,"True","False",
48,"19/09/2009","Friendly",4,49,"15:00",17,"Away","1","4","0","3","False","False","False","The score line perhaps flattered Ely a little as it was not a bad performance and this is the first game the real 4th squad actually played together.  It was a relatively even game except for the 10 minutes in the first have when the team felt the humid conditions and stopped running.
 
There were a lot of positives including drawing the 2nd half,  John Parker, Dan Lam and Manish Verma showing real potentials.  It showed what we can do when we decide to be competitive and there are a number of players with good fitness levels.
 
In the first half we never really got beyond the midfield and the second half we switched things around a little and ended up with more possession and got more of the play.","Men's 4ths lose 4-1 to Ely 4","False","False",,1,"True","False",
49,"26/09/2009","League",4,49,"17:30:00",8,"Home","6","1","2","1","False","False","False","South started the game confidently and dominated the opening exchanges and after some good work by Dan Lam on the right, Rob Barton put south ahead.
Dave Aston soon made it 2:0 after 15 minutes, but after that Ely was the better team as South lost a bit of shape.  Ely made it 2:1 after a scuffed shot was deflected in by Ky Ho.  Ely ended the half stronger.
South then regained their shape in the second half and as a result had more of the play and pinned Ely back.  Dave Aston scored South's 3rd to make it 3:1, followed by a goal from  Rob Barton with the move originated in left back.  James Raikes also got on the score sheet from a tap in.  Dan Lam pushed the ball passed the 'keeper from just inside the D with a first time shot from a pass from Leo.  It was a good start of this campaign for the 4th team with new and newish team members already beginning to gel.  It was good to see Shahbaz playing well outfield even though he needs to learn to wear his shin pads inside his socks
","Men's 4ths beat Ely City 4ths in the late game at the Leys.","False","False",,1,"True","False",
50,"03/10/2009","League",4,128,"16:30:00",37,"Away","0","1","0","0","False","False","False","South arrived one player less than intended as Manish got lost The first half was a bit of a forgettable affair when neither of the goal keepers had anything to do.  South lost John Taylor after 20 minutes with a pulled muscle and the team had to be reorganised, but everyone did their job in their positions.
The second half started with St Neots scoring more or less from the start as they managed to confused the South defence by bring on a brand new player in attack.  The goal galvanised the team and South strung together a number of chances with Ian Evans playing in the defensive midfield role orchestrating a lot of the play. Sam Lansdell stopped everything that came through the centre.  St Neots's goal keeper managed to keep out all South's chances.  In the end it was a good game and the 'core' of the 4th team started to play better together.","Men's 4ths lose a close game at St Neots 5","False","False",,1,"True","False",
51,"10/10/2009","League",4,104,"11:45:00",8,"Home","3","0","","","True","True","True","Men's 4ths match cancelled as Rutland fail to raise a team.","Men's 4ths match cancelled as Rutland fail to raise a team.","False","True",,1,"False","False",
